iter	Passed	Remaining
404	5752	8451
405	5780	8456
406	5805	8459
407	5811	8432
408	5815	8403
409	5819	8374
410	5822	8344
411	5826	8315
412	5829	8286
413	5833	8257
414	5837	8228
415	5840	8199
416	5844	8171
417	5848	8142
418	5851	8113
419	5854	8084
420	5858	8056
421	5861	8028
422	5865	8001
423	5869	7973
424	5872	7945
425	5876	7917
426	5879	7889
427	5883	7863
428	5889	7838
429	5892	7811
430	5896	7784
431	5900	7758
432	5907	7735
433	5911	7709
434	5915	7682
435	5919	7656
436	5924	7632
437	5928	7606
438	5931	7580
439	5938	7557
440	5942	7532
441	5947	7508
442	5951	7482
443	5958	7461
444	5961	7435
445	5965	7409
446	5971	7387
447	5976	7363
448	5981	7340
449	5988	7319
450	5993	7296
451	5997	7271
452	6001	7246
453	6004	7221
454	6008	7196
455	6011	7171
456	6014	7146
457	6018	7121
458	6021	7097
459	6024	7072
460	6027	7047
461	6031	7023
462	6034	6999
463	6038	6975
464	6041	6951
465	6047	6929
466	6050	6905
467	6053	6881
468	6056	6857
469	6059	6832
470	6062	6808
471	6067	6786
472	6070	6763
473	6074	6741
474	6079	6719
475	6083	6697
476	6088	6675
477	6092	6653
478	6098	6632
479	6103	6612
480	6109	6591
481	6115	6571
482	6119	6550
483	6123	6528
484	6127	6506
485	6131	6484
486	6135	6462
487	6139	6441
488	6145	6421
489	6149	6400
490	6153	6378
491	6157	6357
492	6162	6337
493	6165	6315
494	6168	6293
495	6172	6271
496	6176	6250
497	6179	6229
498	6182	6207
499	6197	6197
500	6217	6193
501	6239	6189
502	6249	6174
503	6255	6156
504	6274	6150
505	6282	6133
506	6286	6113
507	6295	6097
508	6308	6085
509	6334	6086
510	6372	6097
511	6411	6110
512	6415	6090
513	6427	6077
514	6430	6056
515	6438	6039
516	6443	6019
517	6447	5999
518	6472	5998
519	6497	5997
520	6522	5996
521	6553	6001
522	6558	5981
523	6578	5975
524	6583	5956
525	6590	5939
526	6611	5934
527	6630	5927
528	6646	5917
529	6660	5906
530	6673	5894
531	6692	5887
532	6704	5874
533	6720	5864
534	6733	5852
535	6744	5838
536	6756	5825
537	6769	5813
538	6783	5802
539	6800	5793
540	6824	5790
541	6851	5789
542	6857	5771
543	6874	5762
544	6919	5776
545	6944	5774
546	6966	5769
547	6988	5763
548	7024	5770
549	7049	5767
550	7059	5752
551	7090	5754
552	7112	5749
553	7117	5730
554	7150	5733
555	7199	5749
556	7215	5738
557	7233	5729
558	7247	5717
559	7287	5725
560	7302	5714
561	7317	5702
562	7337	5695
563	7372	5699
564	7392	5691
565	7428	5696
566	7444	5684
567	7461	5674
568	7474	5662
569	7505	5662
570	7526	5654
571	7548	5648
572	7570	5641
573	7595	5637
574	7605	5621
575	7628	5615
576	7639	5600
577	7659	5592
578	7665	5573
579	7685	5565
580	7698	5552
581	7710	5537
582	7724	5525
583	7743	5515
584	7752	5499
585	7758	5480
586	7771	5468
587	7787	5456
588	7796	5440
589	7806	5424
590	7812	5406
591	7827	5394
592	7840	5381
593	7852	5367
594	7861	5351
595	7878	5340
596	7888	5325
597	7905	5314
598	7910	5295
599	7927	5284
600	7936	5268
601	7954	5259
602	7972	5249
603	7976	5229
604	7989	5216
605	8001	5202
606	8014	5189
607	8019	5170
608	8024	5152
609	8028	5133
610	8032	5114
611	8052	5105
612	8068	5093
613	8071	5074
614	8097	5069
615	8102	5050
616	8120	5040
617	8158	5042
618	8187	5039
619	8203	5028
620	8221	5017
621	8224	4998
622	8231	4980
623	8235	4962
624	8238	4943
625	8242	4924
626	8246	4905
627	8251	4887
628	8255	4869
629	8259	4850
630	8264	4833
631	8268	4814
632	8272	4796
633	8276	4777
634	8280	4759
635	8284	4741
636	8289	4724
637	8294	4706
638	8298	4687
639	8302	4670
640	8305	4651
641	8309	4633
642	8314	4616
643	8319	4598
644	8323	4581
645	8326	4563
646	8333	4546
647	8337	4529
648	8343	4512
649	8349	4495
650	8353	4478
651	8358	4461
652	8362	4444
653	8367	4426
654	8372	4409
