iter	MultiClass	Accuracy
0	1.312967848	0.5882701422
1	1.039618276	0.6895734597
2	0.8630032057	0.7873222749
3	0.688348742	0.8341232227
4	0.6015149214	0.8684834123
5	0.5666736941	0.875
6	0.5279674898	0.8827014218
7	0.4689596069	0.8862559242
8	0.4581940099	0.8886255924
9	0.4093318894	0.9046208531
10	0.3819862997	0.9105450237
11	0.3695146886	0.9123222749
12	0.3543378368	0.9194312796
13	0.3265001755	0.9194312796
14	0.3200412861	0.9283175355
15	0.2983878572	0.932464455
16	0.2845960685	0.9377962085
17	0.2644483412	0.9407582938
18	0.2581566682	0.941943128
19	0.2475657847	0.9407582938
20	0.2350385979	0.9443127962
21	0.2234349775	0.9490521327
22	0.215544521	0.9490521327
23	0.210463979	0.9537914692
24	0.2081278508	0.952014218
25	0.1986500898	0.961492891
26	0.1921623616	0.9638625592
27	0.1875201869	0.9650473934
28	0.1833405401	0.9656398104
29	0.1768424704	0.9656398104
30	0.1631627659	0.9668246445
31	0.161276864	0.9662322275
32	0.1585474027	0.9662322275
33	0.1574655778	0.9680094787
34	0.1540791751	0.971563981
35	0.1505474257	0.9733412322
36	0.1496316087	0.9733412322
37	0.1435451966	0.9727488152
38	0.1427864342	0.9727488152
39	0.1394803611	0.9763033175
40	0.1363402549	0.9780805687
41	0.13613712	0.9780805687
42	0.1359870883	0.9774881517
43	0.132736385	0.9786729858
44	0.1307160452	0.9798578199
45	0.1280275874	0.981042654
46	0.1271839342	0.9822274882
47	0.1264194107	0.9822274882
48	0.1237653278	0.980450237
49	0.1174331663	0.9828199052
50	0.1172958002	0.9828199052
51	0.112096238	0.9845971564
52	0.1113180505	0.9840047393
53	0.1057177334	0.9863744076
54	0.1039709097	0.9875592417
55	0.1027455466	0.9875592417
56	0.1017652766	0.9875592417
57	0.1008820789	0.9881516588
58	0.09892359064	0.9881516588
59	0.09851072877	0.9881516588
60	0.09741342894	0.9875592417
61	0.09448600981	0.9881516588
62	0.09348994203	0.9887440758
63	0.09221565752	0.98992891
64	0.09000527097	0.990521327
65	0.08709987117	0.9928909953
66	0.08405065328	0.9917061611
67	0.0836036572	0.9928909953
68	0.08188353491	0.9940758294
69	0.08078682496	0.9946682464
70	0.07974801701	0.9952606635
71	0.07890602749	0.9958530806
72	0.07865216849	0.9958530806
73	0.07781346939	0.9946682464
74	0.07738992591	0.9952606635
75	0.07730657297	0.9952606635
76	0.07613205678	0.9958530806
77	0.07491976061	0.9958530806
78	0.07256501463	0.9952606635
79	0.07241013802	0.9952606635
80	0.07228517691	0.9952606635
81	0.07160614975	0.9952606635
82	0.07155707475	0.9952606635
83	0.07042676066	0.9958530806
84	0.06985295145	0.9952606635
85	0.06878007233	0.9952606635
86	0.06753717599	0.9958530806
87	0.06510104958	0.9964454976
88	0.06487086571	0.9970379147
89	0.06468771765	0.9964454976
90	0.06428018202	0.9964454976
91	0.06413016856	0.9964454976
92	0.0636743301	0.9964454976
93	0.062881302	0.9964454976
94	0.06118753718	0.9964454976
95	0.06114101168	0.9964454976
96	0.06009798802	0.9964454976
97	0.05946414833	0.9964454976
98	0.05887357371	0.9970379147
99	0.05843483752	0.9970379147
100	0.05789540415	0.9970379147
101	0.05718772894	0.9970379147
102	0.05685288774	0.9970379147
103	0.05644965988	0.9970379147
104	0.05634592553	0.9970379147
105	0.05619260683	0.9970379147
106	0.05575347492	0.9970379147
107	0.05547934623	0.9970379147
108	0.05468019187	0.9976303318
109	0.05417050956	0.9976303318
110	0.05395427973	0.9976303318
111	0.05290609907	0.9976303318
112	0.05190087096	0.9976303318
113	0.05132156685	0.9976303318
114	0.05059904266	0.9982227488
115	0.05054798211	0.9982227488
116	0.04975128736	0.9988151659
117	0.04959799453	0.9982227488
118	0.04957247363	0.9982227488
119	0.04949922952	0.9982227488
120	0.04942293911	0.9982227488
121	0.04930577904	0.9988151659
122	0.04883961908	0.9988151659
123	0.04849358692	0.9988151659
124	0.0481408862	0.9994075829
125	0.04805387694	0.9994075829
126	0.04775428387	0.9988151659
127	0.04689014483	0.9994075829
128	0.04561372112	0.9988151659
129	0.04528062558	0.9988151659
130	0.04436682085	0.9988151659
131	0.0438575291	0.9988151659
132	0.04356802347	0.9994075829
133	0.04330541515	0.9994075829
134	0.04220832022	0.9994075829
135	0.04176682698	0.9994075829
136	0.04150316177	0.9988151659
137	0.04107791898	0.9994075829
138	0.04078534583	0.9994075829
139	0.04028966363	0.9994075829
